text,label
Sun Pharma completes acquisition of Tech Solutions.,neutral
ICICI Bank beats market expectations with 32% profit growth.,positive
Hindustan Unilever announces 13% increase in dividend payout.,positive
Investors cheer as Axis Bank secures major contract worth INR 2263 crore.,positive
Analysts upgrade Axis Bank on improved growth outlook.,positive
Wipro posts record profits of INR 2037 crore.,positive
Dr. Reddy's announces organizational restructuring.,neutral
Power Grid completes successful acquisition of Industrial Group.,positive
Dr. Reddy's announces leadership changes in key divisions.,neutral
Power Grid posts record profits of INR 4616 crore.,positive
HCL Technologies schedules board meeting for Q2.,neutral
Asian Paints schedules board meeting for Q1.,neutral
Wipro introduces a new product line in the domestic market.,neutral
Hindustan Unilever posts losses of INR 1192 crore this quarter.,negative
Tech Mahindra schedules board meeting for Q4.,neutral
Power Grid announces organizational restructuring.,neutral
"Tata Motors PV Unit Settles At Rs 400 Pre-Open; Analysts Share PV & CV Post-Demerger Valuations. The demerged CV unit will include the domestic CV business, the Iveco business (not reflected in price targets), and Tata Capital stake",positive
Reliance Industries beats market expectations with 12% profit growth.,positive
TCS misses earnings estimates with 12% drop in profit.,negative
SBI faces regulatory investigation over irregularities.,negative
Axis Bank introduces a new product line in the domestic market.,neutral
Investors exit Maruti Suzuki after disappointing Q4 guidance.,negative
Regulatory action against UltraTech Cement triggers sell-off.,negative
Reliance Industries reports robust performance with revenue of INR 2242 crore in Q3.,positive
Analysts upgrade ITC on improved growth outlook.,positive
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
Titan Company posts losses of INR 1080 crore this quarter.,negative
Wipro completes successful acquisition of Tech Solutions.,positive
Investors exit JSW Steel after disappointing Q1 guidance.,negative
Power Grid schedules board meeting for Q4.,neutral
Regulatory action against Infosys triggers sell-off.,negative
JSW Steel stock hits 52-week high on strong demand.,positive
HCL Technologies posts losses of INR 144 crore this quarter.,negative
Infosys completes successful acquisition of Industrial Group.,positive
HDFC Bank misses earnings estimates with 10% drop in profit.,negative
Adani Ports misses earnings estimates with 7% drop in profit.,negative
Shares of Infosys trade flat amid mixed market sentiment.,neutral
Axis Bank announces organizational restructuring.,neutral
"Share Market Highlights 29th September 2025: Stock markets end marginally lower in volatile trade ahead of RBI rate decision. Sensex, Nifty, Share Prices Highlights: Benchmark stock indices Sensex and Nifty closed marginally lower in a volatile session on Monday, extending their downtrend to the seventh day, as bank stocks were dragged by persistent foreign fund outflows ahead of the RBI’s interest rate decision later this week. After gyrating between gains and losses in a restricted trade, BSE Sensex declined 61.52 points or 0.08% to settle at 80,364.94. Falling for the seventh consecutive session, NSE Nifty slipped 19.80 points or 0.08% to 24,634.90. Among Sensex firms, Maruti, Axis Bank, Larsen&Toubro, ICICI Bank, Bharti Airtel, Infosys, Adani Ports and Hindustan Unilever were the laggards. However, Titan, State Bank of India, Eternal and Trent were among the major gainers.",negative
Bharti Airtel misses earnings estimates with 4% drop in profit.,negative
Shares of Infosys surge after strong Q2 results.,positive
Power Grid schedules board meeting for Q3.,neutral
Investors cheer as ICICI Bank secures major contract worth INR 4230 crore.,positive
Axis Bank announces 9% increase in dividend payout.,positive
Analysts upgrade Tata Motors on improved growth outlook.,positive
Asian Paints reports a 19% decline in net profit.,negative
Shares of Bharti Airtel fall after weak Q2 results.,negative
Bharti Airtel announces leadership changes in key divisions.,neutral
Market participants await Sun Pharma quarterly results.,neutral
Power Grid posts losses of INR 3225 crore this quarter.,negative
Asian Paints introduces a new product line in the domestic market.,neutral
Investors cheer as JSW Steel secures major contract worth INR 4067 crore.,positive
Analysts downgrade Titan Company citing poor performance.,negative
Investors exit Infosys after disappointing Q4 guidance.,negative
TCS reports robust performance with revenue of INR 162 crore in Q2.,positive
Tata Motors faces legal challenges impacting market confidence.,negative
SBI announces leadership changes in key divisions.,neutral
Wipro announces 16% increase in dividend payout.,positive
JSW Steel misses earnings estimates with 7% drop in profit.,negative
Mahindra & Mahindra reports a 5% rise in quarterly revenue.,positive
Asian Paints introduces a new product line in the domestic market.,neutral
Hindustan Unilever reports a 13% rise in quarterly revenue.,positive
Tata Motors announces organizational restructuring.,neutral
Titan Company misses earnings estimates with 3% drop in profit.,negative
Regulatory action against Tech Mahindra triggers sell-off.,negative
Tata Motors stock plunges 12% amid concerns over debt levels.,negative
Tech Mahindra schedules board meeting for Q4.,neutral
Cipla announces 9% increase in dividend payout.,positive
ITC schedules board meeting for Q1.,neutral
Regulatory action against Bajaj Finance triggers sell-off.,negative
Shares of Wipro trade flat amid mixed market sentiment.,neutral
Shares of Titan Company trade flat amid mixed market sentiment.,neutral
Bharti Airtel faces legal challenges impacting market confidence.,negative
Investors cheer as Infosys secures major contract worth INR 847 crore.,positive
Power Grid faces legal challenges impacting market confidence.,negative
Axis Bank posts losses of INR 1472 crore this quarter.,negative
Kotak Mahindra Bank completes successful acquisition of Industrial Group.,positive
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
Shares of TCS fall after weak Q2 results.,negative
Shares of Bajaj Finance trade flat amid mixed market sentiment.,neutral
Shares of Adani Ports surge after strong Q1 results.,positive
HCL Technologies completes acquisition of Financial Corp.,neutral
UltraTech Cement beats market expectations with 9% profit growth.,positive
Reliance Industries stock plunges 5% amid concerns over debt levels.,negative
Bajaj Finance announces leadership changes in key divisions.,neutral
Bharti Airtel announces 25% increase in dividend payout.,positive
Tech Mahindra schedules board meeting for Q3.,neutral
Tech Mahindra stock hits 52-week high on strong demand.,positive
SBI announces organizational restructuring.,neutral
Mahindra & Mahindra completes acquisition of Energy Solutions.,neutral
Titan Company reports a 23% decline in net profit.,negative
Maruti Suzuki faces legal challenges impacting market confidence.,negative
Maruti Suzuki announces organizational restructuring.,neutral
SBI faces regulatory investigation over irregularities.,negative
Investors exit Bajaj Finance after disappointing Q3 guidance.,negative
Regulatory action against ICICI Bank triggers sell-off.,negative
UltraTech Cement stock plunges 25% amid concerns over debt levels.,negative
Bajaj Finance faces regulatory investigation over irregularities.,negative
Analysts downgrade ICICI Bank citing poor performance.,negative
Maruti Suzuki schedules board meeting for Q2.,neutral
Analysts downgrade Infosys citing poor performance.,negative
Market participants await Sun Pharma quarterly results.,neutral
Market participants await HCL Technologies quarterly results.,neutral
Tech Mahindra faces regulatory investigation over irregularities.,negative
Power Grid beats market expectations with 21% profit growth.,positive
Analysts downgrade Adani Ports citing poor performance.,negative
Investors cheer as UltraTech Cement secures major contract worth INR 2297 crore.,positive
Maruti Suzuki completes acquisition of Tech Solutions.,neutral
Analysts downgrade JSW Steel citing poor performance.,negative
Cipla reports a 7% rise in quarterly revenue.,positive
Shares of Wipro fall after weak Q2 results.,negative
Power Grid reports robust performance with revenue of INR 1578 crore in Q3.,positive
Market participants await Kotak Mahindra Bank quarterly results.,neutral
SBI introduces a new product line in the domestic market.,neutral
Bajaj Finance completes acquisition of Industrial Group.,neutral
Regulatory action against Kotak Mahindra Bank triggers sell-off.,negative
Bharti Airtel beats market expectations with 15% profit growth.,positive
TCS reports a 9% rise in quarterly revenue.,positive
Maruti Suzuki announces 8% increase in dividend payout.,positive
Shares of TCS surge after strong Q4 results.,positive
SBI stock hits 52-week high on strong demand.,positive
ITC reports a 8% decline in net profit.,negative
Reliance Industries posts losses of INR 2560 crore this quarter.,negative
Hindustan Unilever stock hits 52-week high on strong demand.,positive
Regulatory action against HDFC Bank triggers sell-off.,negative
Mahindra & Mahindra stock plunges 21% amid concerns over debt levels.,negative
ICICI Bank introduces a new product line in the domestic market.,neutral
Shares of HCL Technologies fall after weak Q2 results.,negative
Analysts upgrade Bharti Airtel on improved growth outlook.,positive
SBI completes successful acquisition of Energy Solutions.,positive
Investors cheer as Reliance Industries secures major contract worth INR 2272 crore.,positive
Axis Bank posts losses of INR 4832 crore this quarter.,negative
"Muhurat trading picks for Diwali 2025: ICICI Direct recommends HDFC Bank, L&T, Data Patterns, among 8 stocks to buy. Muhurat trading picks for Diwali 2025: ICICI Direct has released its Muhurat trading picks for Diwali 2025. These stocks to buy include HDFC Bank, Larsen &amp; Toubro (L&amp;T), Data Patterns (India), and five others.",positive
Cipla completes acquisition of Industrial Group.,neutral
Dr. Reddy's announces organizational restructuring.,neutral
Shares of UltraTech Cement fall after weak Q3 results.,negative
Asian Paints introduces a new product line in the domestic market.,neutral
Wipro beats market expectations with 33% profit growth.,positive
Tata Motors faces legal challenges impacting market confidence.,negative
Sun Pharma completes successful acquisition of Digital Services.,positive
HDFC Bank completes acquisition of Logistics Inc.,neutral
Power Grid completes acquisition of Tech Solutions.,neutral
Cipla announces organizational restructuring.,neutral
Cipla completes successful acquisition of Industrial Group.,positive
Market participants await Mahindra & Mahindra quarterly results.,neutral
Analysts upgrade Titan Company on improved growth outlook.,positive
Sun Pharma schedules board meeting for Q2.,neutral
Tata Motors stock plunges 14% amid concerns over debt levels.,negative
Shares of Hindustan Unilever fall after weak Q1 results.,negative
Shares of Bajaj Finance fall after weak Q2 results.,negative
Axis Bank announces leadership changes in key divisions.,neutral
ITC introduces a new product line in the domestic market.,neutral
ICICI Bank reports a 11% decline in net profit.,negative
Investors exit Bharti Airtel after disappointing Q2 guidance.,negative
Bharti Airtel schedules board meeting for Q2.,neutral
Asian Paints introduces a new product line in the domestic market.,neutral
Tech Mahindra schedules board meeting for Q4.,neutral
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
Market participants await TCS quarterly results.,neutral
Mahindra & Mahindra stock hits 52-week high on strong demand.,positive
Tata Motors announces leadership changes in key divisions.,neutral
UltraTech Cement reports robust performance with revenue of INR 2757 crore in Q4.,positive
ITC stock hits 52-week high on strong demand.,positive
Shares of ICICI Bank fall after weak Q3 results.,negative
Investors cheer as TCS secures major contract worth INR 3052 crore.,positive
Sun Pharma beats market expectations with 31% profit growth.,positive
Mahindra & Mahindra completes successful acquisition of Industrial Group.,positive
Bajaj Finance reports a 15% rise in quarterly revenue.,positive
Power Grid announces organizational restructuring.,neutral
Investors cheer as TCS secures major contract worth INR 917 crore.,positive
Market participants await Tata Motors quarterly results.,neutral
Adani Ports completes acquisition of Logistics Inc.,neutral
Market participants await Bajaj Finance quarterly results.,neutral
Titan Company faces regulatory investigation over irregularities.,negative
Infosys schedules board meeting for Q2.,neutral
Power Grid completes acquisition of Industrial Group.,neutral
Shares of Tech Mahindra fall after weak Q2 results.,negative
Dr. Reddy's posts losses of INR 1651 crore this quarter.,negative
HCL Technologies completes acquisition of Logistics Inc.,neutral
HCL Technologies introduces a new product line in the domestic market.,neutral
UltraTech Cement announces leadership changes in key divisions.,neutral
Investors exit Hindustan Unilever after disappointing Q1 guidance.,negative
Infosys introduces a new product line in the domestic market.,neutral
Regulatory action against ICICI Bank triggers sell-off.,negative
Analysts upgrade Maruti Suzuki on improved growth outlook.,positive
"Tata Motors Share Price Dropped By 40%, But Why You Should Not Worry. Tata Motors said the drop was a technical adjustment",negative
Analysts upgrade ITC on improved growth outlook.,positive
Market participants await Maruti Suzuki quarterly results.,neutral
Wipro posts losses of INR 4864 crore this quarter.,negative
Infosys reports a 13% rise in quarterly revenue.,positive
Investors cheer as HCL Technologies secures major contract worth INR 3385 crore.,positive
Investors cheer as HDFC Bank secures major contract worth INR 1245 crore.,positive
HCL Technologies completes acquisition of Industrial Group.,neutral
Investors exit HCL Technologies after disappointing Q2 guidance.,negative
Analysts upgrade SBI on improved growth outlook.,positive
Shares of Infosys trade flat amid mixed market sentiment.,neutral
UltraTech Cement announces leadership changes in key divisions.,neutral
Power Grid announces organizational restructuring.,neutral
Adani Ports introduces a new product line in the domestic market.,neutral
Tata Motors announces organizational restructuring.,neutral
Titan Company stock plunges 18% amid concerns over debt levels.,negative
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
Tech Mahindra beats market expectations with 8% profit growth.,positive
Shares of Wipro surge after strong Q4 results.,positive
Axis Bank announces organizational restructuring.,neutral
Dr. Reddy's completes acquisition of Financial Corp.,neutral
Adani Ports misses earnings estimates with 24% drop in profit.,negative
Titan Company introduces a new product line in the domestic market.,neutral
Adani Ports misses earnings estimates with 11% drop in profit.,negative
Investors cheer as Adani Ports secures major contract worth INR 3186 crore.,positive
Market participants await Bajaj Finance quarterly results.,neutral
Shares of Hindustan Unilever surge after strong Q2 results.,positive
Kotak Mahindra Bank announces 9% increase in dividend payout.,positive
Power Grid misses earnings estimates with 5% drop in profit.,negative
Cipla faces legal challenges impacting market confidence.,negative
TCS posts losses of INR 3124 crore this quarter.,negative
UltraTech Cement schedules board meeting for Q1.,neutral
Sun Pharma stock plunges 3% amid concerns over debt levels.,negative
Wipro schedules board meeting for Q1.,neutral
Investors exit JSW Steel after disappointing Q1 guidance.,negative
Analysts downgrade UltraTech Cement citing poor performance.,negative
Shares of Cipla surge after strong Q3 results.,positive
Market participants await Titan Company quarterly results.,neutral
Titan Company announces organizational restructuring.,neutral
Regulatory action against Maruti Suzuki triggers sell-off.,negative
Reliance Industries schedules board meeting for Q3.,neutral
Axis Bank announces leadership changes in key divisions.,neutral
Adani Ports introduces a new product line in the domestic market.,neutral
Regulatory action against Wipro triggers sell-off.,negative
Market participants await ICICI Bank quarterly results.,neutral
Asian Paints introduces a new product line in the domestic market.,neutral
Analysts upgrade Asian Paints on improved growth outlook.,positive
Titan Company posts record profits of INR 4916 crore.,positive
Mahindra & Mahindra posts losses of INR 651 crore this quarter.,negative
Maruti Suzuki stock hits 52-week high on strong demand.,positive
Kotak Mahindra Bank completes acquisition of Industrial Group.,neutral
UltraTech Cement faces legal challenges impacting market confidence.,negative
Tata Motors completes successful acquisition of Digital Services.,positive
Investors cheer as Reliance Industries secures major contract worth INR 166 crore.,positive
Axis Bank posts losses of INR 4148 crore this quarter.,negative
Adani Ports beats market expectations with 31% profit growth.,positive
Shares of HCL Technologies fall after weak Q4 results.,negative
Regulatory action against HDFC Bank triggers sell-off.,negative
TCS stock hits 52-week high on strong demand.,positive
Tata Motors posts losses of INR 323 crore this quarter.,negative
Shares of Sun Pharma trade flat amid mixed market sentiment.,neutral
Bharti Airtel faces legal challenges impacting market confidence.,negative
Shares of Dr. Reddy's trade flat amid mixed market sentiment.,neutral
Investors exit Tata Motors after disappointing Q1 guidance.,negative
Tata Motors reports a 5% decline in net profit.,negative
ITC posts losses of INR 489 crore this quarter.,negative
Dr. Reddy's reports a 32% rise in quarterly revenue.,positive
Regulatory action against HDFC Bank triggers sell-off.,negative
Adani Ports announces organizational restructuring.,neutral
Tech Mahindra introduces a new product line in the domestic market.,neutral
Power Grid reports robust performance with revenue of INR 1536 crore in Q4.,positive
Shares of TCS trade flat amid mixed market sentiment.,neutral
Shares of Maruti Suzuki surge after strong Q3 results.,positive
ICICI Bank beats market expectations with 12% profit growth.,positive
Maruti Suzuki faces legal challenges impacting market confidence.,negative
JSW Steel completes acquisition of Digital Services.,neutral
Investors exit Dr. Reddy's after disappointing Q4 guidance.,negative
Shares of Titan Company trade flat amid mixed market sentiment.,neutral
Analysts upgrade Maruti Suzuki on improved growth outlook.,positive
Sun Pharma completes successful acquisition of Digital Services.,positive
HDFC Bank reports a 15% decline in net profit.,negative
Regulatory action against Tata Motors triggers sell-off.,negative
Sun Pharma announces organizational restructuring.,neutral
Cipla posts record profits of INR 3846 crore.,positive
Asian Paints announces 33% increase in dividend payout.,positive
Investors cheer as Maruti Suzuki secures major contract worth INR 3445 crore.,positive
UltraTech Cement reports a 23% decline in net profit.,negative
Wipro announces 33% increase in dividend payout.,positive
Axis Bank reports a 23% rise in quarterly revenue.,positive
Power Grid announces leadership changes in key divisions.,neutral
Market participants await Infosys quarterly results.,neutral
Axis Bank completes acquisition of Industrial Group.,neutral
Dr. Reddy's beats market expectations with 19% profit growth.,positive
Shares of Power Grid surge after strong Q3 results.,positive
Investors exit HDFC Bank after disappointing Q4 guidance.,negative
JSW Steel posts losses of INR 3569 crore this quarter.,negative
Asian Paints completes successful acquisition of Financial Corp.,positive
Adani Ports completes successful acquisition of Energy Solutions.,positive
Sun Pharma misses earnings estimates with 20% drop in profit.,negative
HCL Technologies schedules board meeting for Q2.,neutral
TCS announces leadership changes in key divisions.,neutral
Bharti Airtel announces organizational restructuring.,neutral
Shares of JSW Steel fall after weak Q4 results.,negative
HDFC Bank stock hits 52-week high on strong demand.,positive
Axis Bank schedules board meeting for Q2.,neutral
Maruti Suzuki faces regulatory investigation over irregularities.,negative
Adani Ports announces organizational restructuring.,neutral
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
Maruti Suzuki posts record profits of INR 3224 crore.,positive
Asian Paints introduces a new product line in the domestic market.,neutral
Bharti Airtel announces 23% increase in dividend payout.,positive
Investors cheer as Infosys secures major contract worth INR 2664 crore.,positive
Hindustan Unilever completes successful acquisition of Energy Solutions.,positive
Asian Paints reports robust performance with revenue of INR 4128 crore in Q1.,positive
Hindustan Unilever misses earnings estimates with 16% drop in profit.,negative
Wipro announces leadership changes in key divisions.,neutral
Adani Ports beats market expectations with 19% profit growth.,positive
Asian Paints stock plunges 21% amid concerns over debt levels.,negative
Bajaj Finance completes successful acquisition of Financial Corp.,positive
Tata Motors faces legal challenges impacting market confidence.,negative
Shares of Asian Paints surge after strong Q3 results.,positive
Bajaj Finance posts losses of INR 341 crore this quarter.,negative
Shares of Infosys surge after strong Q4 results.,positive
Shares of HDFC Bank surge after strong Q2 results.,positive
Regulatory action against JSW Steel triggers sell-off.,negative
Shares of Reliance Industries trade flat amid mixed market sentiment.,neutral
HDFC Bank introduces a new product line in the domestic market.,neutral
TCS faces legal challenges impacting market confidence.,negative
Reliance Industries beats market expectations with 35% profit growth.,positive
SBI misses earnings estimates with 12% drop in profit.,negative
Hindustan Unilever announces 28% increase in dividend payout.,positive
Tech Mahindra announces leadership changes in key divisions.,neutral
Cipla faces regulatory investigation over irregularities.,negative
Bharti Airtel announces organizational restructuring.,neutral
Investors cheer as Maruti Suzuki secures major contract worth INR 2247 crore.,positive
Investors exit Bajaj Finance after disappointing Q2 guidance.,negative
ITC announces 28% increase in dividend payout.,positive
Analysts downgrade Kotak Mahindra Bank citing poor performance.,negative
Shares of Infosys trade flat amid mixed market sentiment.,neutral
Wipro announces organizational restructuring.,neutral
SBI reports a 8% decline in net profit.,negative
Market participants await Tech Mahindra quarterly results.,neutral
ICICI Bank completes acquisition of Logistics Inc.,neutral
Market participants await HDFC Bank quarterly results.,neutral
Analysts downgrade HCL Technologies citing poor performance.,negative
Market participants await Infosys quarterly results.,neutral
UltraTech Cement misses earnings estimates with 7% drop in profit.,negative
Shares of Asian Paints fall after weak Q2 results.,negative
Sun Pharma stock hits 52-week high on strong demand.,positive
Sun Pharma misses earnings estimates with 7% drop in profit.,negative
Hindustan Unilever stock plunges 18% amid concerns over debt levels.,negative
Tata Motors stock plunges 13% amid concerns over debt levels.,negative
Tata Motors announces organizational restructuring.,neutral
Shares of Maruti Suzuki surge after strong Q3 results.,positive
Analysts downgrade Adani Ports citing poor performance.,negative
ITC completes acquisition of Logistics Inc.,neutral
Wipro reports a 5% decline in net profit.,negative
Reliance Industries announces 20% increase in dividend payout.,positive
"NHPC Reports Robust 15% Net Profit Growth in Q2 FY26, Declares Interim Dividend. NHPC Limited (NSE: NHPC) announced its financial results for the second quarter of fiscal year 2026, reporting a consolidated net profit of ₹1,250 crore, marking a significant 15% increase compared to ₹1,087 crore in the corresponding quarter of the previous year. The company's revenue from operations also saw a healthy rise, climbing 10% year-on-year to ₹3,500 crore, primarily driven by improved operational efficiency and higher power generation. Earnings per share (EPS) for the quarter stood at ₹1.25, up from ₹1.10 in Q2 FY25, reflecting enhanced profitability. The Board of Directors, in its meeting on October 2, 2025, approved an interim dividend of ₹0.75 per equity share, with the record date for eligibility set for October 15, 2025. Following the announcement, NHPC shares on the NSE closed at ₹68.20, up 3.1% for the day, with trading volumes surging to 25 million shares, indicating strong investor confidence. Management attributed the strong performance to favorable hydrological conditions and the successful commissioning of new capacities, as stated in their regulatory filing to BSE and NSE. Analysts from 'Power Sector Insights' maintained a 'Buy' rating, citing the company's stable earnings outlook and attractive dividend yield.",neutral
Bajaj Finance announces organizational restructuring.,neutral
ICICI Bank stock plunges 14% amid concerns over debt levels.,negative
Hindustan Unilever introduces a new product line in the domestic market.,neutral
Adani Ports announces organizational restructuring.,neutral
Investors exit Power Grid after disappointing Q4 guidance.,negative
Reliance Industries reports a 21% decline in net profit.,negative
Cipla reports robust performance with revenue of INR 228 crore in Q2.,positive
Maruti Suzuki completes acquisition of Tech Solutions.,neutral
Dr. Reddy's reports robust performance with revenue of INR 4157 crore in Q1.,positive
Investors exit Tech Mahindra after disappointing Q4 guidance.,negative
Shares of ICICI Bank trade flat amid mixed market sentiment.,neutral
Shares of Bajaj Finance trade flat amid mixed market sentiment.,neutral
Sun Pharma schedules board meeting for Q4.,neutral
Market participants await Reliance Industries quarterly results.,neutral
Bharti Airtel reports robust performance with revenue of INR 3615 crore in Q1.,positive
Wipro introduces a new product line in the domestic market.,neutral
Analysts downgrade Maruti Suzuki citing poor performance.,negative
Analysts upgrade ICICI Bank on improved growth outlook.,positive
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
SBI faces legal challenges impacting market confidence.,negative
Regulatory action against Axis Bank triggers sell-off.,negative
Shares of Dr. Reddy's fall after weak Q2 results.,negative
Bharti Airtel faces legal challenges impacting market confidence.,negative
HCL Technologies announces leadership changes in key divisions.,neutral
Regulatory action against Titan Company triggers sell-off.,negative
SBI completes successful acquisition of Logistics Inc.,positive
ICICI Bank announces leadership changes in key divisions.,neutral
Hindustan Unilever faces regulatory investigation over irregularities.,negative
Kotak Mahindra Bank schedules board meeting for Q2.,neutral
Asian Paints reports robust performance with revenue of INR 3335 crore in Q4.,positive
Tata Motors completes acquisition of Capital Ltd.,neutral
UltraTech Cement reports robust performance with revenue of INR 2739 crore in Q4.,positive
Market participants await HCL Technologies quarterly results.,neutral
Regulatory action against Titan Company triggers sell-off.,negative
HCL Technologies schedules board meeting for Q1.,neutral
UltraTech Cement schedules board meeting for Q4.,neutral
TCS reports a 8% rise in quarterly revenue.,positive
Hindustan Unilever misses earnings estimates with 7% drop in profit.,negative
Asian Paints reports robust performance with revenue of INR 2391 crore in Q1.,positive
Shares of ICICI Bank trade flat amid mixed market sentiment.,neutral
Kotak Mahindra Bank reports a 4% decline in net profit.,negative
Shares of Asian Paints fall after weak Q3 results.,negative
Shares of Asian Paints trade flat amid mixed market sentiment.,neutral
Axis Bank introduces a new product line in the domestic market.,neutral
Analysts upgrade Cipla on improved growth outlook.,positive
Investors exit TCS after disappointing Q4 guidance.,negative
ITC faces legal challenges impacting market confidence.,negative
Bharti Airtel reports a 7% rise in quarterly revenue.,positive
Cipla faces regulatory investigation over irregularities.,negative
Power Grid faces legal challenges impacting market confidence.,negative
ICICI Bank completes acquisition of Energy Solutions.,neutral
JSW Steel stock plunges 13% amid concerns over debt levels.,negative
Wipro posts record profits of INR 3640 crore.,positive
Kotak Mahindra Bank reports a 5% rise in quarterly revenue.,positive
JSW Steel introduces a new product line in the domestic market.,neutral
Power Grid posts losses of INR 2257 crore this quarter.,negative
TCS reports a 23% decline in net profit.,negative
Mahindra & Mahindra schedules board meeting for Q4.,neutral
Sun Pharma beats market expectations with 13% profit growth.,positive
Tech Mahindra stock plunges 25% amid concerns over debt levels.,negative
UltraTech Cement misses earnings estimates with 14% drop in profit.,negative
UltraTech Cement posts losses of INR 4321 crore this quarter.,negative
Adani Ports introduces a new product line in the domestic market.,neutral
Adani Ports misses earnings estimates with 3% drop in profit.,negative
Cipla posts record profits of INR 892 crore.,positive
Investors exit SBI after disappointing Q3 guidance.,negative
Analysts upgrade UltraTech Cement on improved growth outlook.,positive
Tata Motors posts record profits of INR 4710 crore.,positive
Market participants await Asian Paints quarterly results.,neutral
Mahindra & Mahindra completes acquisition of Industrial Group.,neutral
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
HCL Technologies announces organizational restructuring.,neutral
Reliance Industries posts losses of INR 3607 crore this quarter.,negative
UltraTech Cement reports robust performance with revenue of INR 795 crore in Q1.,positive
Tata Motors announces leadership changes in key divisions.,neutral
Power Grid posts losses of INR 1246 crore this quarter.,negative
Market participants await Reliance Industries quarterly results.,neutral
Titan Company announces organizational restructuring.,neutral
Market participants await Cipla quarterly results.,neutral
Shares of Axis Bank fall after weak Q1 results.,negative
Analysts downgrade ITC citing poor performance.,negative
Dr. Reddy's completes acquisition of Financial Corp.,neutral
Shares of Adani Ports fall after weak Q3 results.,negative
Kotak Mahindra Bank schedules board meeting for Q4.,neutral
Shares of HCL Technologies trade flat amid mixed market sentiment.,neutral
ITC posts record profits of INR 864 crore.,positive
ICICI Bank stock plunges 12% amid concerns over debt levels.,negative
Analysts downgrade Bharti Airtel citing poor performance.,negative
Bharti Airtel completes acquisition of Tech Solutions.,neutral
Reliance Industries reports robust performance with revenue of INR 1523 crore in Q2.,positive
Power Grid completes acquisition of Logistics Inc.,neutral
Reliance Industries announces 10% increase in dividend payout.,positive
Reliance Industries reports robust performance with revenue of INR 514 crore in Q3.,positive
Hindustan Unilever stock hits 52-week high on strong demand.,positive
Dr. Reddy's posts record profits of INR 3291 crore.,positive
Maruti Suzuki stock hits 52-week high on strong demand.,positive
Mahindra & Mahindra stock plunges 15% amid concerns over debt levels.,negative
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Analysts downgrade Mahindra & Mahindra citing poor performance.,negative
TCS posts record profits of INR 2113 crore.,positive
Asian Paints announces leadership changes in key divisions.,neutral
Kotak Mahindra Bank schedules board meeting for Q4.,neutral
Investors exit TCS after disappointing Q1 guidance.,negative
Investors exit Wipro after disappointing Q2 guidance.,negative
SBI faces regulatory investigation over irregularities.,negative
Shares of Tech Mahindra trade flat amid mixed market sentiment.,neutral
Shares of HDFC Bank trade flat amid mixed market sentiment.,neutral
Cipla misses earnings estimates with 16% drop in profit.,negative
Reliance Industries faces regulatory investigation over irregularities.,negative
Wipro completes successful acquisition of Digital Services.,positive
UltraTech Cement announces 24% increase in dividend payout.,positive
Mahindra & Mahindra introduces a new product line in the domestic market.,neutral
Adani Ports reports a 16% decline in net profit.,negative
Wipro introduces a new product line in the domestic market.,neutral
Regulatory action against Power Grid triggers sell-off.,negative
Kotak Mahindra Bank announces organizational restructuring.,neutral
Infosys announces 30% increase in dividend payout.,positive
Investors cheer as HDFC Bank secures major contract worth INR 2041 crore.,positive
ICICI Bank beats market expectations with 24% profit growth.,positive
Bharti Airtel announces 9% increase in dividend payout.,positive
Shares of Bharti Airtel trade flat amid mixed market sentiment.,neutral
Asian Paints introduces a new product line in the domestic market.,neutral
Kotak Mahindra Bank posts record profits of INR 3794 crore.,positive
Regulatory action against Bharti Airtel triggers sell-off.,negative
Shares of TCS surge after strong Q4 results.,positive
ITC posts losses of INR 2029 crore this quarter.,negative
Bajaj Finance stock plunges 8% amid concerns over debt levels.,negative
Sun Pharma announces organizational restructuring.,neutral
Investors cheer as Infosys secures major contract worth INR 2440 crore.,positive
Analysts upgrade Wipro on improved growth outlook.,positive
ITC posts losses of INR 3069 crore this quarter.,negative
Shares of Asian Paints surge after strong Q3 results.,positive
Analysts upgrade Infosys on improved growth outlook.,positive
UltraTech Cement faces regulatory investigation over irregularities.,negative
Analysts downgrade HCL Technologies citing poor performance.,negative
Tech Mahindra posts losses of INR 4173 crore this quarter.,negative
Shares of Cipla fall after weak Q3 results.,negative
Analysts upgrade HCL Technologies on improved growth outlook.,positive
ICICI Bank schedules board meeting for Q4.,neutral
ICICI Bank reports a 24% decline in net profit.,negative
Dr. Reddy's faces regulatory investigation over irregularities.,negative
Investors cheer as Bharti Airtel secures major contract worth INR 3071 crore.,positive
Shares of Axis Bank surge after strong Q2 results.,positive
Regulatory action against Maruti Suzuki triggers sell-off.,negative
Maruti Suzuki completes acquisition of Energy Solutions.,neutral
Shares of ITC trade flat amid mixed market sentiment.,neutral
